Model,Period_s,RMSE,R2,Sigma,Bias
BNN-Improved,3.8,0.764744,0.8873765468597412,0.7644089,0.022638468
BNN-Improved,4.0,0.7597829,0.889290452003479,0.7556496,-0.07913954
BNN-Improved,4.2,0.7722003,0.8858373761177063,0.75495344,-0.16229172
BNN-Improved,4.4,0.752514,0.8918840289115906,0.7465527,-0.094536185
BNN-Improved,4.6,0.74364424,0.8947610855102539,0.74362737,-0.0049534724
BNN-Improved,4.8,0.7395325,0.8962538242340088,0.7394926,-0.0076852157
BNN-Improved,5.0,0.74347675,0.8955063819885254,0.7294113,-0.14393441
BNN-Improved,5.5,0.71671873,0.9042444825172424,0.7161969,0.027337288
BNN-Improved,6.0,0.7045877,0.9084107875823975,0.7042333,-0.022357663
BNN-Improved,6.5,0.6939914,0.9118015766143799,0.6932463,-0.032148883
BNN-Improved,7.0,0.6922971,0.9129199385643005,0.6872556,-0.08339791
BNN-Improved,7.5,0.7075252,0.9094446897506714,0.6790094,-0.19884121
BNN-Improved,8.0,0.6726746,0.918527364730835,0.67267144,0.0021776943
BNN-Improved,8.5,0.67706907,0.9177061915397644,0.6648107,-0.12825936
BNN-Improved,9.0,0.6718665,0.9192437529563904,0.65637743,-0.14343339
BNN-Improved,9.5,0.6572172,0.9229598641395569,0.65048265,-0.09384503
BNN-Improved,10.0,0.7044213,0.9118501543998718,0.64259267,-0.28859076
CGAN,0.01,2.7870584,-0.3815610408782959,1.2899228,-2.4705896
CGAN,0.02,2.8726826,-0.464111328125,1.5611997,-2.4114206
CGAN,0.022,2.1355965,0.19127953052520752,1.1176229,-1.8198067
CGAN,0.025,2.1513693,0.18037909269332886,1.2381412,-1.759374
CGAN,0.029,3.651001,-1.3508009910583496,1.4730912,-3.3406277
CGAN,0.03,2.1894646,0.15547877550125122,1.3845601,-1.6961
CGAN,0.032,2.646685,-0.23108315467834473,1.9445307,-1.7954787
CGAN,0.035,2.2442515,0.11892032623291016,1.3474452,-1.7947311
CGAN,0.036,2.1032722,0.22732824087142944,1.5130855,-1.4609357
CGAN,0.04,3.1768236,-0.7546075582504272,1.8754979,-2.564122
CGAN,0.042,2.6207144,-0.19038772583007812,1.7529066,-1.9481916
CGAN,0.044,2.0515745,0.27240800857543945,1.4258602,-1.4750841
CGAN,0.045,2.6415946,-0.205352783203125,1.4067411,-2.235867
CGAN,0.046,1.7970008,0.4427449107170105,1.1754359,-1.3592502
CGAN,0.048,2.142957,0.2092462182044983,1.444032,-1.5833588
CGAN,0.05,2.4848237,-0.06111001968383789,1.4643086,-2.007523
CGAN,0.055,1.3185456,0.7030249834060669,1.312509,-0.12602195
CGAN,0.06,2.883826,-0.41251182556152344,1.389981,-2.5267386
CGAN,0.065,2.08173,0.26976972818374634,1.4673617,-1.4766343
CGAN,0.067,1.5568266,0.5927871465682983,1.4205365,-0.6370122
CGAN,0.07,2.6327477,-0.15948426723480225,1.6801485,-2.026934
CGAN,0.075,1.4589489,0.6466461420059204,1.2502943,-0.7518616
CGAN,0.08,2.5337515,-0.05645716190338135,1.373044,-2.1294708
CGAN,0.085,2.9516873,-0.42477262020111084,1.486756,-2.5499065
CGAN,0.09,3.6726692,-1.1926169395446777,1.6361401,-3.2880914
CGAN,0.095,2.6968908,-0.1759645938873291,1.8819169,-1.9317353
CGAN,0.1,2.3858905,0.08329325914382935,1.4481369,-1.8961505
CGAN,0.11,3.2150304,-0.6584075689315796,1.88307,-2.6058478
CGAN,0.12,3.1596026,-0.6000292301177979,1.4638557,-2.8000367
CGAN,0.13,2.374256,0.0970035195350647,1.3598019,-1.946285
CGAN,0.133,2.1035411,0.29104626178741455,1.2768642,-1.6716766
CGAN,0.14,2.694509,-0.1643732786178589,1.2277554,-2.3985424
CGAN,0.15,2.601576,-0.08851468563079834,1.3463798,-2.2260804
CGAN,0.16,2.5353053,-0.03608667850494385,1.6903813,-1.8895485
CGAN,0.17,1.8732787,0.4331738352775574,1.2204255,-1.4211732
CGAN,0.18,3.4683301,-0.9452027082443237,1.9707124,-2.854052
CGAN,0.19,2.2970123,0.1458808183670044,1.3287058,-1.8737131
CGAN,0.2,2.9235628,-0.39413464069366455,1.4698272,-2.527218
CGAN,0.22,2.845858,-0.3385598659515381,1.2278522,-2.5673501
CGAN,0.24,4.9735575,-3.1334991455078125,1.2812488,-4.805686
CGAN,0.25,2.7663946,-0.2822920083999634,1.1945455,-2.4951932
CGAN,0.26,2.6352808,-0.1659986972808838,1.4695878,-2.1874683
CGAN,0.28,2.1071599,0.25126779079437256,1.8586775,-0.99269617
CGAN,0.29,2.9911418,-0.5105847120285034,1.4697777,-2.6051269
CGAN,0.3,3.6694865,-1.2775044441223145,1.8610568,-3.1625302
CGAN,0.32,3.3017714,-0.8528540134429932,1.1925675,-3.0788765
CGAN,0.34,1.9064554,0.3793224096298218,1.698735,-0.86537176
CGAN,0.35,1.9408904,0.3542267680168152,1.4050806,-1.338955
CGAN,0.36,1.9929602,0.3164997100830078,1.48601,-1.3280293
CGAN,0.38,1.7695751,0.45725035667419434,1.3027029,-1.1976498
CGAN,0.4,1.4665916,0.624565601348877,1.1620036,-0.8947835
CGAN,0.42,1.4993688,0.6043018102645874,1.268309,-0.7996854
CGAN,0.44,3.0830693,-0.6815484762191772,1.6421766,-2.6093247
CGAN,0.45,1.9981569,0.2918110489845276,1.8050125,-0.8570688
CGAN,0.46,3.4675014,-1.137070894241333,2.1893744,-2.6889038
CGAN,0.48,2.520919,-0.1340261697769165,1.0618201,-2.2863874
CGAN,0.5,2.719083,-0.3276737928390503,1.5176429,-2.256144
CGAN,0.55,2.2548196,0.07548314332962036,1.3366028,-1.815955
CGAN,0.6,4.0240703,-1.9807658195495605,1.2840806,-3.8136995
CGAN,0.65,1.566655,0.5436474084854126,1.2391485,-0.9586032
CGAN,0.667,1.6343671,0.5020063519477844,1.148048,-1.1632462
CGAN,0.7,3.2375307,-0.9618260860443115,1.0834543,-3.0508568
CGAN,0.75,1.7909752,0.3950865864753723,1.2577704,-1.274993
CGAN,0.8,1.99899,0.24323350191116333,1.0901479,-1.675571
CGAN,0.85,1.4368287,0.6064631938934326,1.29825,-0.6156495
CGAN,0.9,3.2098143,-0.9713408946990967,1.2514182,-2.9558148
CGAN,0.95,1.3761398,0.6364094018936157,1.1035695,-0.8221292
CGAN,1.0,2.9354703,-0.6627780199050903,1.4005479,-2.5798192
CGAN,1.1,3.9741428,-2.0662150382995605,1.7786763,-3.5538888
CGAN,1.2,2.0221424,0.19845569133758545,0.98882294,-1.763885
CGAN,1.3,1.8812153,0.3024710416793823,1.255865,-1.4006323
CGAN,1.4,3.5865912,-1.5403573513031006,0.9694013,-3.4531004
CGAN,1.5,1.5540223,0.5209754705429077,1.1405534,-1.0555214
CGAN,1.6,2.5663717,-0.3096200227737427,1.3153671,-2.2036529
CGAN,1.7,1.7978567,0.35425281524658203,1.3667232,-1.1680576
CGAN,1.8,1.4935762,0.5542638897895813,0.94585675,-1.1559083
CGAN,1.9,3.2709403,-1.1316947937011719,1.2620693,-3.0176566
CGAN,2.0,1.9562876,0.2387622594833374,1.0506132,-1.6502341
CGAN,2.2,2.5491986,-0.2940375804901123,1.598656,-1.985627
CGAN,2.4,2.26583,-0.016464829444885254,1.2099112,-1.9157501
CGAN,2.5,2.3349004,-0.07806921005249023,1.0002465,-2.109804
CGAN,2.6,2.9431374,-0.7084262371063232,1.1420939,-2.712503
CGAN,2.8,2.8522327,-0.5981125831604004,1.246552,-2.5654097
CGAN,3.0,2.8430853,-0.5857341289520264,1.9852113,-2.0352118
CGAN,3.2,1.7936064,0.37234950065612793,0.9119937,-1.5444393
CGAN,3.4,2.5881598,-0.29738032817840576,1.8510177,-1.8089534
CGAN,3.5,2.1780522,0.08418923616409302,0.88173795,-1.9915963
CGAN,3.6,2.5923197,-0.2962883710861206,2.0565143,-1.578249
CGAN,3.8,2.2886465,-0.0086822509765625,0.8886246,-2.1090863
CGAN,4.0,1.8048668,0.3752639889717102,1.1086626,-1.424223
CGAN,4.2,2.586133,-0.2804596424102783,0.856495,-2.4401824
CGAN,4.4,3.1233065,-0.8624716997146606,1.3902353,-2.7968388
CGAN,4.6,2.2221549,0.060288429260253906,1.2343091,-1.8478217
CGAN,4.8,1.8976116,0.3169177174568176,1.186031,-1.4813042
CGAN,5.0,1.7120826,0.44587910175323486,1.2150682,-1.2061673
CGAN,5.5,1.5173037,0.5708470940589905,0.83338964,-1.2679427
CGAN,6.0,2.539061,-0.189378023147583,1.5831761,-1.9850396
CGAN,6.5,2.0799532,0.2077544927597046,1.4317482,-1.508742
CGAN,7.0,1.8712637,0.3637846112251282,1.3270291,-1.3193297
CGAN,7.5,2.7905269,-0.408650279045105,0.8084441,-2.6708558
CGAN,8.0,2.2859457,0.059121549129486084,1.7810782,-1.4329381
CGAN,8.5,1.4330196,0.6313586235046387,1.4208541,0.18632483
CGAN,9.0,1.2032142,0.7410022020339966,1.0394877,-0.6059632
CGAN,9.5,2.9151597,-0.5157378911972046,0.9553019,-2.754187
CGAN,10.0,1.8762254,0.3746451735496521,1.2034338,-1.4394377
CVAE,0.01,0.86746824,0.8661603927612305,0.85603386,-0.14038363
CVAE,0.02,0.87142134,0.8652726411819458,0.85580754,-0.16422129
CVAE,0.022,0.8743517,0.8644400835037231,0.8569534,-0.17355303
CVAE,0.025,0.8791724,0.863122820854187,0.8602184,-0.18157321
CVAE,0.029,0.88969225,0.8604041337966919,0.86764026,-0.19685747
CVAE,0.03,0.8822541,0.8628733158111572,0.8705634,-0.14314878
CVAE,0.032,0.89200795,0.8601635694503784,0.87433827,-0.17666392
CVAE,0.035,0.89283586,0.8605511784553528,0.87865216,-0.15851429
CVAE,0.036,0.8981525,0.8591023087501526,0.8845271,-0.15585263
CVAE,0.04,0.90161425,0.8586697578430176,0.88990194,-0.14485171
CVAE,0.042,0.91468346,0.8549922108650208,0.89745843,-0.17667575
CVAE,0.044,0.91625315,0.8548740744590759,0.9003334,-0.17005491
CVAE,0.045,0.9168413,0.8547987937927246,0.9030116,-0.15864542
